number,date,time,gender,age,accuracy,nationality1,accuracy,nationality2,accuracy,nationality3,accuracy,direction
15048,2024年11月6日,1:48,1,41,0.65,0,0.14,1,0.76,1,0.64,0.85
15049,2024年11月6日,1:50,0,79,0.90,0,0.14,1,0.74,1,0.18,0.57
15050,2024年11月6日,1:51,0,58,0.16,1,0.95,0,1.00,0,0.79,0.38
15051,2024年11月6日,1:52,0,11,0.38,0,0.27,1,0.57,0,0.34,0.49
15052,2024年11月6日,1:52,1,3,0.52,0,0.71,1,0.61,0,0.02,0.71
15053,2024年11月6日,1:53,0,16,0.88,0,0.83,1,0.27,1,0.69,0.25
15054,2024年11月6日,1:53,0,76,0.09,1,0.23,0,0.80,1,0.06,0.60
15055,2024年11月6日,1:54,1,32,0.79,0,0.95,1,0.31,0,0.21,0.16
15056,2024年11月6日,1:55,1,53,0.76,0,0.34,1,0.87,1,0.23,0.37
15057,2024年11月6日,1:55,0,19,0.68,0,0.12,1,0.45,1,0.90,0.21
15058,2024年11月6日,1:55,0,98,0.58,0,0.57,1,0.05,1,0.04,0.90
15059,2024年11月6日,1:56,0,34,0.51,0,0.66,1,0.74,0,0.01,0.98
15060,2024年11月6日,1:57,0,28,0.39,0,0.66,1,0.30,0,0.57,0.70
15061,2024年11月6日,1:57,1,86,0.10,1,0.60,0,0.51,0,0.73,0.32
15062,2024年11月6日,1:58,0,84,0.32,0,0.48,1,0.37,1,0.39,0.22
15063,2024年11月6日,1:58,0,71,0.37,0,0.70,1,0.14,0,0.55,0.92
15064,2024年11月6日,1:59,0,27,0.95,0,0.91,1,0.73,1,0.60,0.83
15065,2024年11月6日,1:59,1,34,0.51,0,0.63,1,0.18,1,0.06,0.84
15066,2024年11月6日,2:00,0,98,0.49,0,0.69,1,0.57,1,0.93,0.60
15067,2024年11月6日,2:00,0,64,0.65,0,0.95,1,0.49,0,0.61,0.33
15068,2024年11月6日,2:00,0,42,0.35,0,0.64,1,0.89,0,0.66,0.62
15069,2024年11月6日,2:02,0,61,0.14,1,0.55,0,0.46,0,0.28,0.88
15070,2024年11月6日,2:02,0,33,0.93,0,0.31,1,0.13,0,0.13,0.21
15071,2024年11月6日,2:03,0,70,0.10,1,0.32,0,0.75,1,0.38,0.36
15072,2024年11月6日,2:05,1,79,0.90,0,0.90,1,0.19,1,0.55,0.51
15073,2024年11月6日,2:05,1,97,0.84,0,0.54,1,0.41,0,0.65,0.52
15074,2024年11月6日,2:06,0,63,0.33,0,0.96,1,0.58,1,0.83,0.26
15075,2024年11月6日,2:07,0,85,0.53,0,0.74,1,0.01,0,0.42,0.90
15076,2024年11月6日,2:08,1,8,0.78,0,0.93,1,0.47,0,0.38,0.32
15077,2024年11月6日,2:09,1,27,0.63,0,0.63,1,0.82,0,0.96,0.93
15078,2024年11月6日,2:09,0,64,0.75,0,0.91,1,0.65,1,0.84,0.27
15079,2024年11月6日,2:09,1,4,0.15,1,0.90,0,0.45,1,0.28,0.75
15080,2024年11月6日,2:09,0,25,0.27,1,0.60,0,0.25,1,0.92,0.74
15081,2024年11月6日,2:09,1,85,0.54,0,0.20,1,0.44,0,0.80,0.33
15082,2024年11月6日,2:09,1,85,0.67,0,0.02,1,0.61,0,0.97,0.84
15083,2024年11月6日,2:10,1,24,0.42,0,0.36,1,0.62,0,0.84,0.52
15084,2024年11月6日,2:11,0,70,0.85,0,0.65,1,0.48,0,0.46,0.28
15085,2024年11月6日,2:11,1,97,0.47,0,0.75,1,0.54,0,0.80,0.73
15086,2024年11月6日,2:12,0,52,0.38,0,0.40,1,0.64,1,0.83,0.33
15087,2024年11月6日,2:12,0,93,0.88,0,0.67,1,0.73,0,0.82,0.36
15088,2024年11月6日,2:13,0,55,0.57,0,0.52,1,0.96,0,0.16,0.62
15089,2024年11月6日,2:13,0,3,0.21,1,0.76,0,0.82,0,0.48,0.56
15090,2024年11月6日,2:14,0,88,0.14,1,0.42,0,0.73,0,0.14,0.49
15091,2024年11月6日,2:15,1,42,0.39,0,0.80,1,0.35,1,0.92,0.31
15092,2024年11月6日,2:15,0,7,0.19,1,0.09,0,0.93,1,0.73,0.63
15093,2024年11月6日,2:15,0,60,0.62,0,0.27,1,0.34,0,0.19,0.60
15094,2024年11月6日,2:15,0,94,0.61,0,0.34,1,0.12,0,0.70,0.19
15095,2024年11月6日,2:16,0,70,0.75,0,0.79,1,0.35,1,0.82,0.33
15096,2024年11月6日,2:17,1,88,0.23,1,0.91,0,0.33,1,0.53,0.78
15097,2024年11月6日,2:17,0,13,0.89,0,0.51,1,0.32,0,0.42,0.20
15098,2024年11月6日,2:18,0,15,0.15,1,0.92,0,0.53,1,0.86,0.04
15099,2024年11月6日,2:18,0,45,0.93,0,0.12,1,0.12,1,0.29,0.89
15100,2024年11月6日,2:19,0,99,0.96,0,0.28,1,0.73,1,0.62,0.79
15101,2024年11月6日,2:19,1,5,0.16,1,0.43,0,0.84,1,0.54,0.65
15102,2024年11月6日,2:20,1,56,0.70,0,0.34,1,0.70,0,0.54,0.26
15103,2024年11月6日,2:21,1,43,0.19,1,0.95,0,0.20,0,0.88,0.87
15104,2024年11月6日,2:21,0,41,0.08,1,0.42,0,0.45,0,0.49,0.88
15105,2024年11月6日,2:22,1,41,0.64,0,0.63,1,0.01,0,0.23,0.02
15106,2024年11月6日,2:23,1,5,0.49,0,0.80,1,0.87,0,0.81,0.34
15107,2024年11月6日,2:23,0,5,0.23,1,0.30,0,0.14,1,0.52,0.82
15108,2024年11月6日,2:24,1,68,0.12,1,0.19,0,0.37,0,0.76,0.84
15109,2024年11月6日,2:25,1,57,0.16,1,0.01,0,0.19,0,0.35,0.88
15110,2024年11月6日,2:25,1,98,0.41,0,0.48,1,0.96,0,0.36,0.87
15111,2024年11月6日,2:25,0,68,0.39,0,0.80,1,0.87,0,0.34,0.21
15112,2024年11月6日,2:26,1,13,0.15,1,0.64,0,0.89,0,0.22,0.98
15113,2024年11月6日,2:28,1,18,0.51,0,0.27,1,0.83,1,0.88,0.74
15114,2024年11月6日,2:28,0,84,0.09,1,0.44,0,0.50,0,0.72,0.81
15115,2024年11月6日,2:31,0,77,0.26,1,0.82,0,0.85,0,0.45,0.09
15116,2024年11月6日,2:31,0,73,0.99,0,0.22,1,0.59,0,0.37,0.22
15117,2024年11月6日,2:32,1,0,0.99,0,0.95,1,0.91,1,0.24,0.52
15118,2024年11月6日,2:33,0,74,0.55,0,0.48,1,0.98,1,0.58,0.59
15119,2024年11月6日,2:33,0,57,0.42,0,0.77,1,0.08,0,0.36,0.26
15120,2024年11月6日,2:34,1,96,0.43,0,0.37,1,0.65,0,0.11,0.74
15121,2024年11月6日,2:35,0,37,0.65,0,0.17,1,0.36,1,0.59,0.19
15122,2024年11月6日,2:39,0,90,0.39,0,0.83,1,0.12,1,0.69,0.73
15123,2024年11月6日,2:39,1,45,0.72,0,0.49,1,0.98,0,0.21,0.71
15124,2024年11月6日,2:40,1,30,0.63,0,0.20,1,0.47,0,0.52,0.55
15125,2024年11月6日,2:40,1,93,0.92,0,1.00,1,0.09,0,0.19,0.90
15126,2024年11月6日,2:41,1,15,0.40,0,0.00,1,0.21,0,0.46,0.77
15127,2024年11月6日,2:41,1,31,0.83,0,0.96,1,0.04,0,0.09,0.99
15128,2024年11月6日,2:42,1,39,0.49,0,0.73,1,0.19,0,0.39,0.88
15129,2024年11月6日,2:43,1,48,0.17,1,0.60,0,0.98,0,0.09,0.17
15130,2024年11月6日,2:45,1,6,0.96,0,0.52,1,0.91,0,0.27,0.67
15131,2024年11月6日,2:45,1,56,0.80,0,0.55,1,0.30,0,0.10,0.22
15132,2024年11月6日,2:45,1,92,0.60,0,0.26,1,0.25,0,0.06,0.95
15133,2024年11月6日,2:46,1,30,0.09,1,0.94,0,0.85,0,0.81,0.39
15134,2024年11月6日,2:47,0,49,0.24,1,0.69,0,0.14,0,0.26,0.46
15135,2024年11月6日,2:47,0,13,0.28,1,0.95,0,0.09,1,0.82,0.68
15136,2024年11月6日,2:49,0,99,0.46,0,0.12,1,0.95,0,0.83,0.86
15137,2024年11月6日,2:49,1,97,0.02,1,0.61,0,0.89,1,0.86,0.53
15138,2024年11月6日,2:50,1,61,0.60,0,0.13,1,0.59,0,0.55,0.75
15139,2024年11月6日,2:52,0,16,0.03,1,0.44,0,0.13,1,0.76,0.32
15140,2024年11月6日,2:52,1,58,0.94,0,0.65,1,0.14,0,0.84,0.91
15141,2024年11月6日,2:52,1,10,0.35,0,0.66,1,0.56,1,0.05,0.39
15142,2024年11月6日,2:53,1,11,0.32,0,0.15,1,0.04,1,0.44,0.11
15143,2024年11月6日,2:53,1,79,0.91,0,0.00,1,0.05,1,0.63,0.01
15144,2024年11月6日,2:54,1,50,0.87,0,0.84,1,0.68,0,0.66,0.42
15145,2024年11月6日,2:54,0,78,0.18,1,0.46,0,0.29,0,0.14,0.21
15146,2024年11月6日,2:56,1,6,0.81,0,0.67,1,0.95,0,0.76,0.22
15147,2024年11月6日,2:56,0,1,0.56,0,0.91,1,0.08,1,0.82,0.36
15148,2024年11月6日,2:56,0,32,0.88,0,0.16,1,0.48,0,0.11,0.36
15149,2024年11月6日,2:57,1,22,0.85,0,0.53,1,1.00,0,0.04,0.85
15150,2024年11月6日,2:58,0,63,0.98,0,0.21,1,0.07,0,0.82,0.86
15151,2024年11月6日,2:59,0,47,0.50,0,0.63,1,0.12,0,0.77,0.96
15152,2024年11月6日,2:59,1,82,0.44,0,0.52,1,0.97,0,0.91,0.63
15153,2024年11月6日,3:00,1,76,0.91,0,0.61,1,0.30,1,0.39,0.15
15154,2024年11月6日,3:01,0,94,0.84,0,0.43,1,0.98,0,0.46,0.74
15155,2024年11月6日,3:02,0,37,0.89,0,0.86,1,0.27,1,0.07,0.70
15156,2024年11月6日,3:02,1,9,0.20,1,0.33,0,0.14,0,0.17,0.21
15157,2024年11月6日,3:02,1,79,0.04,1,0.12,0,0.31,1,0.34,0.00
15158,2024年11月6日,3:02,0,31,0.11,1,0.92,0,0.59,0,0.26,0.21
15159,2024年11月6日,3:02,0,93,0.02,1,0.91,0,0.51,0,0.21,0.79
15160,2024年11月6日,3:02,0,46,0.58,0,0.75,1,0.68,0,0.03,0.71
15161,2024年11月6日,3:04,0,73,0.95,0,0.98,1,0.92,1,0.63,0.65
15162,2024年11月6日,3:04,1,64,0.03,1,0.01,0,0.84,0,0.42,0.77
15163,2024年11月6日,3:05,0,30,0.94,0,0.16,1,0.70,1,0.97,0.51
15164,2024年11月6日,3:05,0,46,0.78,0,0.49,1,0.34,0,0.56,0.05
15165,2024年11月6日,3:05,0,45,0.10,1,0.99,0,0.25,0,0.12,0.47
15166,2024年11月6日,3:06,1,78,0.81,0,0.56,1,0.75,1,0.52,0.90
15167,2024年11月6日,3:07,0,38,0.46,0,0.59,1,0.52,1,0.16,0.26
15168,2024年11月6日,3:07,1,3,0.28,1,0.46,0,0.57,1,0.52,0.90
15169,2024年11月6日,3:10,0,20,0.31,0,0.11,1,0.66,0,0.29,0.38
15170,2024年11月6日,3:10,0,43,0.72,0,0.22,1,0.89,1,0.75,0.50
15171,2024年11月6日,3:11,1,34,0.22,1,0.96,0,0.00,0,0.87,0.99
15172,2024年11月6日,3:11,0,65,0.40,0,0.51,1,0.11,0,0.33,0.71
15173,2024年11月6日,3:11,1,80,0.60,0,0.33,1,0.39,0,0.51,0.60
15174,2024年11月6日,3:12,1,16,0.91,0,0.69,1,0.32,0,0.59,0.50
15175,2024年11月6日,3:12,0,22,0.60,0,0.84,1,0.06,1,0.44,0.88
15176,2024年11月6日,3:13,0,88,0.79,0,0.18,1,0.22,0,0.03,0.56
15177,2024年11月6日,3:14,1,71,0.15,1,0.59,0,0.60,0,0.07,0.27
15178,2024年11月6日,3:14,0,93,0.72,0,0.82,1,0.76,0,0.69,0.18
15179,2024年11月6日,3:15,0,48,0.27,1,0.72,0,0.78,1,0.46,0.32
15180,2024年11月6日,3:15,1,44,0.53,0,0.22,1,0.74,0,0.02,0.10
15181,2024年11月6日,3:16,1,46,0.53,0,0.35,1,0.52,1,0.12,0.95
15182,2024年11月6日,3:16,1,10,0.57,0,0.53,1,0.82,0,0.80,0.46
15183,2024年11月6日,3:17,1,25,0.63,0,0.51,1,0.15,0,0.85,0.09
15184,2024年11月6日,3:17,1,34,0.38,0,0.47,1,0.87,0,0.68,0.36
15185,2024年11月6日,3:18,0,52,0.89,0,0.73,1,0.89,1,0.44,0.27
15186,2024年11月6日,3:18,1,51,0.38,0,0.52,1,0.04,0,0.06,0.41
15187,2024年11月6日,3:19,0,69,0.66,0,0.48,1,0.83,1,0.40,0.84
15188,2024年11月6日,3:19,0,75,0.02,1,0.50,0,0.67,0,0.41,0.31
15189,2024年11月6日,3:20,1,60,0.00,1,0.26,0,0.05,1,0.51,0.38
15190,2024年11月6日,3:20,1,14,0.80,0,0.71,1,0.71,1,0.85,0.35
15191,2024年11月6日,3:21,0,75,0.60,0,0.37,1,0.43,1,0.67,0.58
15192,2024年11月6日,3:21,1,89,0.22,1,0.08,0,0.98,0,0.63,0.12
15193,2024年11月6日,3:21,1,80,0.75,0,0.54,1,0.53,0,0.08,0.68
15194,2024年11月6日,3:22,1,61,0.85,0,0.35,1,0.89,1,0.30,0.10
15195,2024年11月6日,3:23,0,25,0.93,0,0.33,1,0.88,1,0.54,0.48
15196,2024年11月6日,3:23,1,31,0.66,0,0.13,1,0.79,1,0.11,0.67
15197,2024年11月6日,3:24,0,25,0.20,1,0.55,0,0.94,1,0.71,0.12
15198,2024年11月6日,3:25,1,62,0.97,0,0.07,1,0.84,0,0.16,0.49
15199,2024年11月6日,3:26,0,34,0.68,0,0.63,1,0.45,1,0.04,0.51
15200,2024年11月6日,3:28,1,13,0.98,0,0.51,1,0.77,1,0.15,0.89
15201,2024年11月6日,3:29,0,34,0.95,0,0.82,1,0.78,0,0.94,0.35
15202,2024年11月6日,3:31,1,64,0.88,0,0.82,1,0.10,0,0.33,0.71
15203,2024年11月6日,3:32,0,55,0.66,0,0.83,1,0.92,1,0.65,0.23
15204,2024年11月6日,3:33,0,48,0.97,0,0.88,1,0.87,1,0.03,0.77
15205,2024年11月6日,3:33,0,65,0.64,0,0.77,1,0.21,1,0.49,0.25
15206,2024年11月6日,3:34,1,94,0.95,0,0.31,1,0.84,1,0.33,0.18
15207,2024年11月6日,3:35,0,18,0.70,0,0.40,1,0.39,0,0.99,0.23
15208,2024年11月6日,3:35,1,40,0.93,0,0.96,1,0.36,1,0.88,0.99
15209,2024年11月6日,3:36,1,41,0.99,0,0.37,1,0.13,0,0.13,0.10
15210,2024年11月6日,3:36,0,29,0.11,1,0.16,0,0.33,1,0.66,0.89
15211,2024年11月6日,3:37,0,84,0.62,0,0.02,1,0.41,1,0.04,0.93
15212,2024年11月6日,3:38,1,30,0.40,0,0.39,1,0.56,0,0.55,0.23
15213,2024年11月6日,3:39,0,27,0.24,1,0.80,0,0.71,0,0.16,0.21
15214,2024年11月6日,3:40,0,55,0.04,1,0.03,0,0.01,0,0.34,0.12
15215,2024年11月6日,3:42,1,5,0.06,1,0.41,0,0.97,1,0.14,0.23
15216,2024年11月6日,3:43,1,29,0.19,1,0.15,0,0.14,0,0.45,0.16
15217,2024年11月6日,3:43,1,87,0.49,0,0.93,1,0.67,1,0.01,0.98
15218,2024年11月6日,3:45,0,78,0.48,0,0.63,1,0.15,1,0.67,0.27
15219,2024年11月6日,3:45,0,94,0.40,0,0.71,1,0.49,0,0.22,0.17
15220,2024年11月6日,3:45,1,19,0.49,0,0.84,1,0.42,0,0.90,0.97
15221,2024年11月6日,3:45,1,14,0.19,1,0.03,0,0.74,0,0.86,0.70
15222,2024年11月6日,3:46,1,31,0.85,0,0.10,1,0.51,0,1.00,0.08
15223,2024年11月6日,3:46,1,57,0.04,1,0.59,0,0.36,0,0.28,0.93
15224,2024年11月6日,3:46,1,62,0.74,0,0.28,1,0.99,0,0.17,0.76
15225,2024年11月6日,3:47,1,53,0.61,0,0.16,1,0.63,1,0.51,0.54
15226,2024年11月6日,3:49,0,20,0.69,0,0.46,1,0.35,0,0.91,0.51
15227,2024年11月6日,3:49,1,56,0.80,0,0.96,1,0.58,0,0.08,0.21
15228,2024年11月6日,3:50,0,85,0.30,1,0.79,0,0.64,0,0.15,0.33
15229,2024年11月6日,3:52,0,71,0.66,0,0.56,1,0.53,0,0.58,0.96
15230,2024年11月6日,3:53,0,23,0.36,0,0.46,1,0.57,0,0.66,0.07
15231,2024年11月6日,3:54,1,49,0.33,0,0.91,1,0.29,1,0.93,0.08
15232,2024年11月6日,3:54,0,64,0.38,0,0.36,1,0.18,0,0.77,0.77
15233,2024年11月6日,3:55,1,65,0.61,0,0.28,1,0.91,1,0.99,0.61
15234,2024年11月6日,3:55,0,28,0.81,0,0.27,1,0.41,0,0.28,0.85
15235,2024年11月6日,3:55,1,44,0.87,0,0.72,1,0.03,0,0.24,0.94
15236,2024年11月6日,3:56,0,34,0.87,0,0.39,1,0.02,0,0.38,0.18
15237,2024年11月6日,3:57,1,51,0.33,0,0.57,1,0.24,0,0.75,0.12
15238,2024年11月6日,3:57,0,44,0.37,0,0.96,1,0.08,0,0.22,0.59
15239,2024年11月6日,3:58,0,38,0.33,0,0.58,1,0.59,0,0.05,0.53
15240,2024年11月6日,3:58,0,41,0.50,0,0.99,1,0.72,0,0.28,0.53
15241,2024年11月6日,3:58,0,41,0.08,1,0.49,0,0.74,1,0.35,0.07
15242,2024年11月6日,4:01,1,59,0.39,0,0.31,1,0.82,0,0.94,0.18
15243,2024年11月6日,4:01,1,60,0.29,1,0.41,0,0.95,0,0.40,0.68
15244,2024年11月6日,4:02,1,7,0.93,0,0.60,1,0.15,0,0.65,0.48
15245,2024年11月6日,4:02,0,94,0.23,1,0.57,0,0.72,1,0.56,0.35
15246,2024年11月6日,4:03,0,5,0.92,0,0.25,1,0.09,1,0.68,0.70
15247,2024年11月6日,4:04,0,45,0.41,0,0.09,1,0.42,0,0.39,0.77
15248,2024年11月6日,4:07,0,9,0.43,0,0.40,1,0.45,1,0.26,0.74
15249,2024年11月6日,4:08,0,8,0.58,0,0.84,1,0.44,1,0.06,0.09
15250,2024年11月6日,4:08,0,80,0.27,1,0.65,0,0.17,0,0.09,0.42
15251,2024年11月6日,4:09,1,56,0.52,0,0.31,1,0.10,0,0.35,0.30
15252,2024年11月6日,4:10,0,63,0.93,0,0.78,1,0.13,0,0.25,0.90
15253,2024年11月6日,4:10,1,2,0.15,1,0.66,0,0.20,1,0.82,0.76
15254,2024年11月6日,4:11,0,98,0.54,0,0.79,1,0.26,0,0.18,0.43
15255,2024年11月6日,4:12,1,77,0.21,1,0.57,0,0.08,1,0.54,0.73
15256,2024年11月6日,4:13,1,42,0.68,0,0.62,1,0.97,1,0.77,0.22
15257,2024年11月6日,4:13,0,78,0.55,0,0.71,1,0.39,0,0.33,0.99
15258,2024年11月6日,4:14,1,65,0.39,0,0.33,1,0.13,1,0.17,0.88
15259,2024年11月6日,4:17,0,100,0.31,0,0.84,1,0.84,0,0.02,0.51
15260,2024年11月6日,4:17,0,82,0.11,1,0.01,0,0.62,1,0.28,0.91
15261,2024年11月6日,4:17,0,28,0.61,0,0.75,1,0.20,0,0.14,0.95
15262,2024年11月6日,4:19,0,48,0.31,0,0.41,1,0.30,0,0.25,0.09
15263,2024年11月6日,4:20,0,32,0.35,0,0.33,1,0.42,0,0.15,0.40
15264,2024年11月6日,4:20,1,73,0.10,1,0.31,0,0.00,0,0.05,0.96
15265,2024年11月6日,4:21,0,94,0.94,0,0.06,1,0.60,1,0.79,0.18
15266,2024年11月6日,4:21,1,54,0.02,1,0.29,0,0.39,0,0.28,0.21
15267,2024年11月6日,4:22,0,21,0.39,0,0.93,1,0.49,1,0.52,0.67
15268,2024年11月6日,4:22,1,67,0.77,0,0.76,1,0.30,0,0.09,0.92
15269,2024年11月6日,4:23,0,34,0.61,0,0.30,1,0.04,1,0.05,0.98
15270,2024年11月6日,4:23,0,89,0.01,1,0.75,0,0.20,1,0.70,0.36
15271,2024年11月6日,4:23,1,34,0.80,0,0.55,1,0.13,1,0.88,0.09
15272,2024年11月6日,4:23,1,57,0.47,0,0.87,1,0.40,0,0.62,0.15
15273,2024年11月6日,4:23,1,94,0.79,0,0.62,1,0.30,0,0.01,0.78
15274,2024年11月6日,4:24,0,74,0.49,0,0.21,1,0.54,1,0.97,0.74
15275,2024年11月6日,4:24,0,92,0.31,0,0.17,1,0.66,1,0.83,0.82
15276,2024年11月6日,4:24,1,20,0.87,0,0.44,1,0.49,0,0.06,0.66
15277,2024年11月6日,4:26,1,55,0.66,0,0.91,1,0.05,1,0.94,0.42
15278,2024年11月6日,4:27,0,2,0.81,0,0.24,1,0.70,1,0.62,0.34
15279,2024年11月6日,4:27,1,85,0.20,1,0.37,0,0.95,1,0.33,0.66
15280,2024年11月6日,4:30,1,32,0.82,0,0.79,1,0.64,1,0.78,0.66
15281,2024年11月6日,4:30,1,8,0.08,1,0.55,0,0.29,0,0.62,0.69
15282,2024年11月6日,4:30,0,9,0.14,1,0.29,0,0.71,0,0.78,0.64
15283,2024年11月6日,4:30,0,58,0.39,0,0.39,1,0.78,1,0.03,0.29
15284,2024年11月6日,4:30,0,81,0.58,0,0.86,1,0.96,0,0.70,0.07
15285,2024年11月6日,4:30,0,81,0.40,0,0.93,1,0.84,0,0.41,0.10
15286,2024年11月6日,4:31,1,65,0.29,1,0.14,0,0.09,0,0.96,0.25
15287,2024年11月6日,4:31,1,33,0.28,1,0.82,0,0.99,1,0.84,0.58
15288,2024年11月6日,4:31,1,74,0.15,1,0.87,0,0.12,0,0.15,0.68
15289,2024年11月6日,4:34,0,90,0.96,0,0.80,1,0.54,1,0.34,0.84
15290,2024年11月6日,4:34,1,49,0.86,0,0.96,1,0.42,1,0.63,0.46
15291,2024年11月6日,4:34,1,52,0.44,0,0.28,1,0.78,1,0.08,0.21
15292,2024年11月6日,4:35,0,96,0.92,0,0.83,1,0.51,0,0.26,0.45
15293,2024年11月6日,4:35,1,88,0.39,0,0.48,1,0.75,0,0.57,0.09
15294,2024年11月6日,4:37,0,62,0.62,0,0.04,1,0.27,1,0.02,0.49
15295,2024年11月6日,4:37,0,7,0.35,0,0.97,1,0.98,0,0.79,0.38
15296,2024年11月6日,4:37,1,45,0.76,0,0.75,1,0.32,1,0.74,0.12
15297,2024年11月6日,4:38,1,23,0.56,0,0.48,1,0.08,1,0.53,0.06
15298,2024年11月6日,4:39,0,40,0.22,1,0.60,0,0.57,0,0.53,0.73
15299,2024年11月6日,4:39,1,43,0.46,0,0.61,1,0.69,0,0.77,0.75
15300,2024年11月6日,4:40,1,30,0.20,1,0.93,0,0.02,1,0.72,0.37
15301,2024年11月6日,4:41,1,80,0.86,0,0.54,1,0.30,1,0.98,0.27
15302,2024年11月6日,4:41,0,50,0.19,1,0.94,0,0.26,1,0.35,0.94
15303,2024年11月6日,4:42,1,99,0.81,0,0.98,1,0.70,0,0.52,0.73
15304,2024年11月6日,4:42,1,20,0.96,0,0.99,1,0.57,0,0.41,0.26
15305,2024年11月6日,4:43,0,89,0.49,0,0.24,1,0.39,0,0.45,0.07
15306,2024年11月6日,4:44,1,91,0.66,0,0.54,1,0.04,0,0.89,0.38
15307,2024年11月6日,4:45,0,44,0.41,0,0.62,1,0.81,0,0.77,0.83
15308,2024年11月6日,4:45,0,47,0.83,0,0.08,1,0.76,1,0.41,0.08
15309,2024年11月6日,4:45,1,72,0.79,0,0.77,1,0.25,1,0.60,0.94
15310,2024年11月6日,4:45,1,41,0.09,1,0.03,0,0.39,0,0.55,0.28
15311,2024年11月6日,4:46,1,75,0.40,0,0.59,1,0.81,1,0.22,0.21
15312,2024年11月6日,4:47,1,37,0.93,0,0.53,1,0.76,1,0.26,0.37
15313,2024年11月6日,4:47,0,79,0.41,0,0.93,1,0.51,1,0.40,0.09
15314,2024年11月6日,4:49,0,71,0.47,0,0.60,1,0.99,1,0.07,0.75
15315,2024年11月6日,4:51,1,41,0.95,0,0.45,1,0.02,0,0.01,0.19
15316,2024年11月6日,4:51,1,1,0.82,0,0.11,1,0.20,0,0.17,0.36
15317,2024年11月6日,4:51,0,20,0.93,0,0.34,1,0.14,1,0.28,0.45
15318,2024年11月6日,4:52,0,12,0.88,0,0.10,1,0.43,0,0.06,0.83
15319,2024年11月6日,4:53,0,5,0.54,0,0.68,1,0.42,0,0.14,0.74
15320,2024年11月6日,4:54,1,57,0.43,0,0.91,1,0.96,0,0.26,0.51
15321,2024年11月6日,4:54,0,2,0.75,0,0.35,1,0.77,0,0.76,0.84
15322,2024年11月6日,4:54,0,73,0.90,0,0.70,1,0.41,0,0.90,0.68
15323,2024年11月6日,4:55,0,88,0.65,0,0.87,1,0.94,0,0.82,0.87
15324,2024年11月6日,4:55,1,96,0.88,0,0.79,1,0.24,0,0.28,0.87
15325,2024年11月6日,4:56,0,37,0.59,0,0.72,1,0.60,0,0.16,0.58
15326,2024年11月6日,4:56,0,44,0.93,0,0.19,1,0.51,0,0.00,0.51
15327,2024年11月6日,4:56,0,93,0.86,0,0.16,1,0.27,1,0.97,0.55
15328,2024年11月6日,4:56,1,12,0.83,0,0.80,1,0.81,0,0.19,0.14
15329,2024年11月6日,4:56,0,4,0.48,0,0.90,1,0.36,1,0.16,0.01
15330,2024年11月6日,4:56,0,26,0.89,0,0.30,1,0.54,1,0.20,1.00
15331,2024年11月6日,4:59,1,18,0.12,1,0.69,0,0.12,0,0.31,0.56
15332,2024年11月6日,5:00,0,95,0.90,0,0.69,1,0.91,0,0.66,0.26
15333,2024年11月6日,5:00,0,56,0.91,0,0.96,1,0.34,1,0.02,0.26
15334,2024年11月6日,5:02,1,72,0.29,1,0.07,0,0.94,0,0.96,0.81
15335,2024年11月6日,5:02,1,25,0.44,0,0.27,1,0.23,1,0.83,0.97
15336,2024年11月6日,5:02,0,83,0.74,0,0.89,1,0.09,0,0.28,0.80
15337,2024年11月6日,5:02,0,11,0.59,0,0.71,1,0.19,1,0.87,0.72
15338,2024年11月6日,5:03,0,18,0.97,0,0.31,1,0.14,1,0.11,0.89
15339,2024年11月6日,5:04,0,58,0.30,1,0.54,0,0.49,0,0.11,0.12
15340,2024年11月6日,5:05,1,70,0.34,0,0.96,1,0.30,0,0.32,0.81
15341,2024年11月6日,5:05,1,40,0.92,0,0.37,1,0.28,0,0.64,0.29
15342,2024年11月6日,5:05,1,48,0.35,0,0.95,1,0.38,1,0.00,0.79
15343,2024年11月6日,5:06,1,70,0.84,0,0.17,1,0.06,0,0.26,0.42
15344,2024年11月6日,5:06,0,18,0.42,0,0.35,1,0.03,0,0.16,0.14
15345,2024年11月6日,5:06,0,44,0.44,0,0.33,1,0.18,0,0.39,0.29
15346,2024年11月6日,5:07,0,23,0.71,0,0.09,1,0.72,1,0.20,0.62
15347,2024年11月6日,5:07,0,88,0.00,1,0.79,0,0.64,1,0.28,0.54
15348,2024年11月6日,5:07,1,48,0.98,0,0.33,1,0.67,0,0.88,0.78
15349,2024年11月6日,5:08,1,15,0.97,0,0.98,1,0.37,0,0.44,0.37
15350,2024年11月6日,5:10,1,42,0.29,1,0.97,0,0.97,0,0.88,0.41
15351,2024年11月6日,5:10,1,10,0.76,0,0.27,1,0.84,0,0.95,0.53
15352,2024年11月6日,5:10,1,13,0.49,0,0.50,1,0.65,1,0.68,0.04
15353,2024年11月6日,5:11,0,88,0.45,0,0.68,1,0.29,1,0.05,0.46
15354,2024年11月6日,5:12,0,25,0.12,1,0.41,0,0.27,1,0.53,0.57
15355,2024年11月6日,5:12,1,62,0.16,1,0.36,0,0.90,1,0.45,0.45
15356,2024年11月6日,5:13,0,57,0.34,0,0.63,1,0.78,1,0.56,0.44
15357,2024年11月6日,5:15,1,21,0.05,1,0.63,0,0.78,0,0.93,0.08
